,theta
Code Golf International,2.247
ox jam,2.135
jailctf merger,2.093
LogicLynx,1.23
FuunAgent,1.19
HIMAGINE THE FUTURE.,1.122
lv1.dev,1.114
import itertools,1.099
intgrah jimboko awu macaque sammyuri,1.063
biz,0.944
ﾀｲｽｹﾝｻﾝﾊﾞII,0.91
ALE-Agent,0.889
santa2024,0.77
Team JYCDT,0.656
cubbus,0.533
THUNDER THUNDER,0.446
JRKKX,0.424
HETHAT,0.403
kabutack,0.213
Ravi Annaswamy,0.184
Yuchen20,0.123
ShadowPrompt Labs,0.086
cg-klogw-sekken,0.06
duckyluuk,0.012
garrymoss,-0.006
kambarakun,-0.111
blob2822,-0.163
cefqrn,-0.33
dbdr,-0.41
Bulmenisaurus,-0.432
mji,-0.507
Ty Woods,-0.598
sekken,-0.61
Krige,-0.711
cg,-0.714
kdmitrie,-0.802
azakhtyamov,-0.908
hyacinth,-0.969
Rafael Pooja,-0.969
open source,-0.99
rucin93,-1.033
today,-1.054
Afordancja,-1.104
Ali,-1.115
MKRC,-1.428
el_presidente,-1.64
KN,-1.666
scpchicken,-1.674
